Date,BP,COP,CVX,EQNR,OKE,PXD,XOM
6/25/2010,27.02,39.58,70.06,20.22,19.79,65.24,59.1
6/28/2010,27.05,39.02,69.96,20.31,20.02,63.93,58.47
6/29/2010,27.67,37.99,68.36,19.32,19.13,60.52,57.29
6/30/2010,28.88,37.42,67.86,19.15,18.93,59.45,57.07
7/1/2010,29.39,37.25,67.48,19.17,18.62,58.92,56.61
7/2/2010,29.35,37.22,67.31,19.32,18.51,57.26,56.57
7/6/2010,31.91,37.51,67.56,19.63,18.76,56.96,57.46
7/7/2010,33.19,39,69.45,20.36,19.31,59.21,58.43
7/8/2010,33.74,39.3,70.41,20.37,19.65,60.36,58.81
7/9/2010,34.05,39.87,71.84,20.42,19.86,60.87,58.78
7/12/2010,36.76,39.72,71.85,20.52,19.8,60.69,58.94
7/13/2010,36.88,40.57,73.23,20.8,20.14,62.27,59.42
7/14/2010,36.18,40.25,73.05,20.76,20,62.05,59.26
7/15/2010,38.92,40.3,73.04,20.96,20.13,61.45,59.27
7/16/2010,37.1,39.53,71.5,20.24,19.73,58.85,57.96
7/19/2010,35.75,39.52,72,20.08,19.83,59.27,58.43
7/20/2010,35.2,40.14,73.1,20.4,20.08,60.53,58.95
7/21/2010,36.13,39.73,72.17,20.23,19.72,59.64,58.17
7/22/2010,36.23,40.61,73.44,21.03,19.97,59.59,59.38
7/23/2010,36.86,41.01,73.52,21.22,20.12,58.84,59.72
7/26/2010,38.65,41.49,74.62,21.36,20.6,60.19,60.39
7/27/2010,38,41.5,75.3,21.42,20.97,59.06,60.81
7/28/2010,37.71,41.5,75.56,21.28,20.59,59.31,60.91
7/29/2010,38.47,41.59,76.02,20.69,20.35,58.4,60.34
7/30/2010,38.47,42.1,76.21,20.33,20.37,57.92,59.68
8/2/2010,39.42,43.86,77.8,21.12,20.95,60.9,61.94
8/3/2010,40,43.88,78.66,21.39,20.75,61.47,62.72
8/4/2010,39.39,43.77,79.02,21.49,20.73,61.51,62.72
8/5/2010,40.68,43.99,79.07,21.53,20.66,61.39,62.71
8/6/2010,41.33,43.4,78.73,21.59,20.42,60.35,61.97
8/9/2010,40.86,43.69,79.29,21.46,20.54,60.5,62.45
8/10/2010,40.11,43.35,79.04,21.13,20.47,59.69,61.93
8/11/2010,38.79,42.32,77.13,19.99,19.74,57.64,60.39
8/12/2010,38.38,42.19,77.07,20.01,19.65,56.47,60.23
8/13/2010,38.93,41.94,77.4,19.84,19.79,56.37,59.91
8/16/2010,38.4,41.87,77.71,20.08,19.69,55.84,59.88
8/17/2010,38.05,42.59,77.77,20.59,20.03,58.01,60.82
8/18/2010,37.3,42.25,77.04,20.26,19.89,58.58,60.15
8/19/2010,36.24,41.71,75.84,19.95,19.52,58,59.29
8/20/2010,36.4,41.08,75.05,19.62,19.26,57.95,58.89
8/23/2010,36.12,40.94,75.05,19.55,19.16,58.48,59.5
8/24/2010,34.92,40.73,73.78,18.68,19,57.24,58.94
8/25/2010,35.25,40.75,74.07,18.86,19.07,57.41,58.91
8/26/2010,35.42,39.95,73.33,18.89,19.04,57.12,58.48
8/27/2010,35.56,40.72,74.93,19.31,19.4,58.95,59.8
8/30/2010,35.26,40.15,73.78,18.81,18.91,58.13,59
8/31/2010,34.83,39.97,74.08,18.74,18.78,57.82,59.11
9/1/2010,36.16,41.21,76.77,19.66,19.36,60.38,60.91
9/2/2010,36.57,41.49,77.45,19.86,19.28,61.25,61.06
9/3/2010,37.43,41.97,78,20.19,19.62,62.5,61.32
9/7/2010,37.19,40.91,77.05,19.67,19.09,61.83,60.55
9/8/2010,38.37,41.41,77.25,19.87,19.21,63.1,60.75
9/9/2010,38.02,41.72,77.36,20.09,19.4,63.62,61.05
9/10/2010,38.22,41.74,78.82,20.21,19.46,64.77,61.2
9/13/2010,38.35,42.22,79.25,20.7,19.49,65.11,61
9/14/2010,38.52,42.21,79.51,20.79,19.53,65.02,61.01
9/15/2010,38.18,42.35,79.21,20.64,19.43,65.35,61
9/16/2010,38.27,42.2,79.05,20.61,19.35,64.85,60.97
9/17/2010,38.03,42.13,78.46,20.33,19.23,65.38,60.78
9/20/2010,38.68,43.32,79.9,20.66,19.42,66.89,61.55
9/21/2010,38.59,43.09,79.75,20.91,19.27,66.46,61.54
9/22/2010,38.09,42.74,79.25,20.82,19.34,65.79,61.45
